epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,216.4,0.44435,0.41348,0.83321,0.99462,0.99487,0.9949,0.91611,0.40524,0.28491,0.83625,0.0012971,0.0012971,0.0012971
144,217.851,0.44466,0.39406,0.8285,0.99462,0.99487,0.9949,0.91611,0.40524,0.28491,0.83625,0.00129215,0.00129215,0.00129215
145,219.304,0.42814,0.38649,0.823,0.9949,0.99952,0.99495,0.92272,0.3937,0.27282,0.83298,0.0012872,0.0012872,0.0012872
146,220.708,0.40369,0.37863,0.81795,0.9949,0.99952,0.99495,0.92272,0.3937,0.27282,0.83298,0.00128225,0.00128225,0.00128225
147,222.16,0.40649,0.37071,0.81912,0.99623,0.98974,0.99495,0.89509,0.46101,0.28858,0.85338,0.0012773,0.0012773,0.0012773
148,223.612,0.4416,0.37379,0.83266,0.99623,0.98974,0.99495,0.89509,0.46101,0.28858,0.85338,0.00127235,0.00127235,0.00127235
149,225.001,0.42757,0.3696,0.83175,1,0.9895,0.99495,0.91479,0.40097,0.28349,0.83579,0.0012674,0.0012674,0.0012674
150,226.348,0.40584,0.38155,0.81976,1,0.9895,0.99495,0.91479,0.40097,0.28349,0.83579,0.00126245,0.00126245,0.00126245
151,227.734,0.42489,0.38046,0.83793,0.99466,0.99487,0.9949,0.90998,0.42221,0.28262,0.84407,0.0012575,0.0012575,0.0012575
152,229.243,0.4695,0.39131,0.83794,0.99466,0.99487,0.9949,0.90998,0.42221,0.28262,0.84407,0.00125255,0.00125255,0.00125255
153,230.777,0.48172,0.39644,0.8395,0.99442,0.99487,0.9949,0.91265,0.39803,0.27154,0.837,0.0012476,0.0012476,0.0012476
154,232.203,0.44331,0.36578,0.8125,0.99442,0.99487,0.9949,0.91265,0.39803,0.27154,0.837,0.00124265,0.00124265,0.00124265
155,233.762,0.46903,0.38075,0.82941,0.99436,0.99487,0.9949,0.90555,0.40651,0.28431,0.84167,0.0012377,0.0012377,0.0012377
156,235.08,0.42429,0.37588,0.84178,0.99436,0.99487,0.9949,0.90555,0.40651,0.28431,0.84167,0.00123275,0.00123275,0.00123275
157,236.517,0.42946,0.37277,0.82555,0.99424,0.99487,0.99485,0.90397,0.424,0.28283,0.84694,0.0012278,0.0012278,0.0012278
158,238.013,0.45973,0.3923,0.84883,0.99424,0.99487,0.99485,0.90397,0.424,0.28283,0.84694,0.00122285,0.00122285,0.00122285
159,239.453,0.41683,0.36957,0.83047,0.9949,0.99998,0.99485,0.92606,0.36987,0.26023,0.82807,0.0012179,0.0012179,0.0012179
160,240.881,0.41315,0.35338,0.82155,0.9949,0.99998,0.99485,0.92606,0.36987,0.26023,0.82807,0.00121295,0.00121295,0.00121295
161,242.219,0.42446,0.35409,0.81264,0.99485,1,0.99495,0.92431,0.37344,0.2612,0.82777,0.001208,0.001208,0.001208
162,243.905,0.41381,0.33547,0.82325,0.99485,1,0.99495,0.92431,0.37344,0.2612,0.82777,0.00120305,0.00120305,0.00120305
163,245.305,0.43246,0.35065,0.83216,0.9949,0.99982,0.99495,0.91769,0.379,0.25952,0.82693,0.0011981,0.0011981,0.0011981
164,246.651,0.39475,0.34379,0.81041,0.9949,0.99982,0.99495,0.91769,0.379,0.25952,0.82693,0.00119315,0.00119315,0.00119315
165,248.025,0.42445,0.34947,0.81033,0.99448,0.99487,0.99495,0.91344,0.3966,0.26565,0.83277,0.0011882,0.0011882,0.0011882
166,249.444,0.44726,0.37642,0.82141,0.99448,0.99487,0.99495,0.91344,0.3966,0.26565,0.83277,0.00118325,0.00118325,0.00118325
167,250.889,0.42595,0.34859,0.81508,0.99445,0.99487,0.9949,0.90925,0.4135,0.26009,0.83744,0.0011783,0.0011783,0.0011783
168,252.213,0.42432,0.35334,0.80951,0.99445,0.99487,0.9949,0.90925,0.4135,0.26009,0.83744,0.00117335,0.00117335,0.00117335
169,253.726,0.44556,0.35829,0.8494,0.99389,0.99487,0.9949,0.92006,0.38989,0.25988,0.83085,0.0011684,0.0011684,0.0011684
170,255.069,0.39705,0.3519,0.83363,0.99389,0.99487,0.9949,0.92006,0.38989,0.25988,0.83085,0.00116345,0.00116345,0.00116345
171,256.428,0.39587,0.34437,0.80956,0.99443,0.99487,0.9949,0.93291,0.37764,0.26064,0.82706,0.0011585,0.0011585,0.0011585
172,257.898,0.45103,0.35765,0.84948,0.99443,0.99487,0.9949,0.93291,0.37764,0.26064,0.82706,0.00115355,0.00115355,0.00115355
173,259.29,0.42493,0.35834,0.8155,0.98985,0.99996,0.9949,0.92844,0.37245,0.25318,0.82494,0.0011486,0.0011486,0.0011486
174,260.643,0.37489,0.33254,0.81487,0.98985,0.99996,0.9949,0.92844,0.37245,0.25318,0.82494,0.00114365,0.00114365,0.00114365
175,262.023,0.41485,0.34714,0.81462,0.99454,1,0.99495,0.92389,0.36716,0.25337,0.82634,0.0011387,0.0011387,0.0011387
176,263.482,0.37867,0.33129,0.80851,0.99454,1,0.99495,0.92389,0.36716,0.25337,0.82634,0.00113375,0.00113375,0.00113375
177,264.909,0.37622,0.3388,0.82651,0.99455,1,0.995,0.91784,0.37472,0.24435,0.82806,0.0011288,0.0011288,0.0011288
