epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,247.979,0.43685,0.41085,0.83914,0.9949,0.99945,0.995,0.9216,0.37023,0.25443,0.82867,0.0010958,0.0010958,0.0010958
139,249.695,0.4345,0.38112,0.83462,0.9949,0.99945,0.995,0.9216,0.37023,0.25443,0.82867,0.0010892,0.0010892,0.0010892
140,251.37,0.42407,0.38653,0.83699,0.99927,0.99487,0.995,0.92951,0.3711,0.2524,0.82746,0.0010826,0.0010826,0.0010826
141,253.068,0.42953,0.37667,0.8245,0.99999,0.99487,0.995,0.93947,0.36552,0.24665,0.82661,0.001076,0.001076,0.001076
142,254.769,0.42552,0.37686,0.83363,0.99999,0.99487,0.995,0.93947,0.36552,0.24665,0.82661,0.0010694,0.0010694,0.0010694
143,256.479,0.40529,0.35841,0.81479,0.99988,0.99487,0.995,0.93948,0.35771,0.24393,0.82451,0.0010628,0.0010628,0.0010628
144,258.101,0.40061,0.35917,0.83288,0.99988,0.99487,0.995,0.93948,0.35771,0.24393,0.82451,0.0010562,0.0010562,0.0010562
145,259.773,0.41301,0.36787,0.83011,0.99975,0.99487,0.995,0.93646,0.35771,0.24031,0.82408,0.0010496,0.0010496,0.0010496
146,261.476,0.38014,0.34578,0.80008,0.99965,0.99487,0.995,0.94292,0.35693,0.23692,0.82413,0.001043,0.001043,0.001043
147,263.223,0.42933,0.38798,0.83272,0.99965,0.99487,0.995,0.94292,0.35693,0.23692,0.82413,0.0010364,0.0010364,0.0010364
148,265.047,0.38739,0.37947,0.82566,1,0.99959,0.995,0.94256,0.34918,0.23305,0.82498,0.0010298,0.0010298,0.0010298
149,266.768,0.38638,0.35073,0.83221,1,0.99959,0.995,0.94256,0.34918,0.23305,0.82498,0.0010232,0.0010232,0.0010232
150,268.598,0.40088,0.36918,0.82742,1,0.99962,0.995,0.92576,0.38317,0.24565,0.83377,0.0010166,0.0010166,0.0010166
151,270.341,0.42411,0.36653,0.83061,0.99966,0.99487,0.995,0.94018,0.34697,0.23871,0.82385,0.00101,0.00101,0.00101
152,272.082,0.41181,0.36586,0.84127,0.99966,0.99487,0.995,0.94018,0.34697,0.23871,0.82385,0.0010034,0.0010034,0.0010034
153,273.961,0.40681,0.36825,0.82494,1,0.99964,0.995,0.94252,0.33571,0.23625,0.81924,0.0009968,0.0009968,0.0009968
154,275.626,0.38337,0.34237,0.82641,1,0.99964,0.995,0.94252,0.33571,0.23625,0.81924,0.0009902,0.0009902,0.0009902
155,277.311,0.37956,0.35212,0.82586,0.99964,0.99487,0.995,0.93703,0.35741,0.23495,0.8227,0.0009836,0.0009836,0.0009836
156,279.038,0.38301,0.34179,0.82594,1,0.99964,0.995,0.93736,0.34868,0.23413,0.82149,0.000977,0.000977,0.000977
157,280.753,0.37756,0.35488,0.83578,1,0.99964,0.995,0.93736,0.34868,0.23413,0.82149,0.0009704,0.0009704,0.0009704
158,282.549,0.37316,0.35185,0.82682,0.99967,0.99487,0.995,0.93909,0.34848,0.23412,0.82108,0.0009638,0.0009638,0.0009638
159,284.215,0.37942,0.35049,0.82487,0.99967,0.99487,0.995,0.93909,0.34848,0.23412,0.82108,0.0009572,0.0009572,0.0009572
160,285.975,0.40382,0.35955,0.8342,0.99966,0.99487,0.995,0.94656,0.33689,0.22781,0.81992,0.0009506,0.0009506,0.0009506
161,287.724,0.39247,0.34936,0.8385,0.99965,0.99487,0.995,0.93944,0.34554,0.22798,0.82328,0.000944,0.000944,0.000944
162,289.41,0.35745,0.33685,0.82826,0.99965,0.99487,0.995,0.93944,0.34554,0.22798,0.82328,0.0009374,0.0009374,0.0009374
163,291.089,0.37272,0.33625,0.81657,0.99967,0.99487,0.995,0.9501,0.34301,0.23175,0.82109,0.0009308,0.0009308,0.0009308
164,292.888,0.37517,0.34642,0.83038,0.99967,0.99487,0.995,0.9501,0.34301,0.23175,0.82109,0.0009242,0.0009242,0.0009242
165,294.65,0.38421,0.34772,0.82551,0.99968,0.99487,0.995,0.94306,0.34236,0.23515,0.82037,0.0009176,0.0009176,0.0009176
166,296.365,0.42242,0.3482,0.81595,0.99967,0.99487,0.995,0.94366,0.34509,0.23081,0.82137,0.000911,0.000911,0.000911
